english_id,hebrew_name,total_olim,avg_age,pct_employed,pct_female,pct_male,score,madad
hatsor_haglilit,חצור הגלילית,57,33.6,54.4,61.4,38.6,-0.518,4
bnei_shimon,חצרים,6,61.5,50.0,50.0,50.0,0.971,7
emek_hefer,חרב לאת,4,50.5,75.0,50.0,50.0,1.241,8
hof_hasharon,חרוצים,3,64.0,66.7,66.7,33.3,1.38,8
lev_hasharon,חרות,4,24.2,25.0,50.0,50.0,1.229,8
harish,חריש,1612,32.2,49.9,52.5,47.5,-0.182,5
misgav,חרשים,3,52.0,66.7,66.7,33.3,0.619,7
ramat_gan,חשמונאים,217,30.6,35.9,56.7,43.3,1.099,8
kiryat_tivon,טבעון,3,15.0,33.3,33.3,66.7,1.215,8
tverya_tiberias,טבריה,2045,29.6,30.1,48.8,51.2,-0.779,3
tira,טירה,4,69.5,50.0,50.0,50.0,-0.275,5
tirat_karmel,טירת כרמל,788,34.5,49.1,51.0,49.0,0.108,6
emek_hamaayanot,טירת צבי,51,21.2,19.6,49.0,51.0,0.304,6
misgav,טל אל,15,44.0,66.7,46.7,53.3,0.619,7
mate_yehuda,טל שחר,7,57.0,85.7,71.4,28.6,0.757,7
ramat_negev,טללים,54,20.6,37.0,57.4,42.6,0.206,6
tel_aviv_yafo,טלמון,18,32.7,50.0,38.9,61.1,1.293,8
yavneel,יבנאל,62,19.1,19.4,58.1,41.9,-1.236,2
yavne,יבנה,324,35.5,55.2,50.0,50.0,0.514,7
zvulun,יגור,208,25.3,54.3,32.2,67.8,-0.014,5
nahal_sorek,יד בנימין,116,27.5,35.3,56.0,44.0,-0.057,5
mate_yehuda,יד השמונה,3,45.3,66.7,100.0,0.0,0.757,7
emek_hefer,יד חנה,2,58.0,50.0,100.0,0.0,1.241,8
hof_ashkelon,יד מרדכי,3,58.7,0.0,66.7,33.3,0.648,7
lahish,יד נתן,2,27.0,100.0,50.0,50.0,0.548,7
gezer,יד רמבם,5,64.8,0.0,80.0,20.0,1.162,8
yehud_monoson,יהוד,175,36.6,50.9,45.7,54.3,0.963,7
hevel_eielot,יהל,15,31.4,46.7,60.0,40.0,-0.055,5
misgav,יובלים,2,47.0,100.0,100.0,0.0,0.619,7
misgav,יודפת,10,17.5,30.0,40.0,60.0,0.619,7
golan,יונתן,2,77.0,50.0,50.0,50.0,0.207,6
sdot_negev,יושיביה,4,77.0,0.0,25.0,75.0,0.185,6
hagilboa,יזרעאל,16,20.1,12.5,37.5,62.5,-0.098,5
mate_asher,יחיעם,59,27.2,44.1,42.4,57.6,0.52,7
hevel_eielot,יטבתה,7,36.6,57.1,57.1,42.9,-0.055,5
bikat_hayarden,ייטב,3,26.0,66.7,33.3,66.7,0.165,6
shaar_hanegev,יכיני,3,43.0,66.7,33.3,66.7,0.769,7
lev_hasharon,ינוב,5,27.6,40.0,80.0,20.0,1.229,8
beer_tuvya,ינון,5,27.0,20.0,80.0,20.0,0.856,7
yesud_hamaala,יסוד המעלה,6,39.7,83.3,33.3,66.7,0.938,7
nahal_sorek,יסודות,2,20.0,0.0,50.0,50.0,-0.057,5
